epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6821,1.2221,2.60409,1.37319,0.69643,0.21512,0.23745,0.15622,1.11916,3.05468,1.24684,0.000407197,0.000407197,0.000407197
2,194.931,1.15485,1.85708,1.27568,0.56198,0.55074,0.52386,0.33163,1.18598,2.32481,1.32794,0.000796676,0.000796676,0.000796676
3,300.129,1.18457,1.73592,1.30398,0.47432,0.6341,0.52448,0.32614,1.22856,2.04055,1.38285,0.00115866,0.00115866,0.00115866
4,413.378,1.17494,1.65127,1.3023,0.46847,0.69947,0.58435,0.37458,1.26827,1.79366,1.36459,0.00112625,0.00112625,0.00112625
5,515.099,1.13487,1.52679,1.25012,0.51616,0.71788,0.69503,0.44134,1.17076,1.65748,1.3137,0.001085,0.001085,0.001085
6,615.44,1.15794,1.48487,1.25974,0.67553,0.57102,0.6523,0.38569,1.26331,1.6619,1.40463,0.00104375,0.00104375,0.00104375
7,722.908,1.13675,1.42304,1.26604,0.64271,0.71178,0.73184,0.46403,1.26176,1.52338,1.36051,0.0010025,0.0010025,0.0010025
8,932.392,1.05219,1.34638,1.21184,0.56217,0.77295,0.66024,0.42636,1.18931,1.49358,1.32879,0.00096125,0.00096125,0.00096125
9,1142.52,1.08895,1.30175,1.22639,0.77113,0.68332,0.75355,0.49035,1.1793,1.4296,1.30337,0.00092,0.00092,0.00092
10,1250.56,1.09209,1.29273,1.24569,0.6432,0.68971,0.75379,0.47678,1.12106,1.38207,1.2621,0.00087875,0.00087875,0.00087875
11,1368.08,1.07205,1.24146,1.19707,0.59109,0.77122,0.74146,0.4513,1.23543,1.35914,1.29945,0.0008375,0.0008375,0.0008375
12,1482.97,1.06984,1.18336,1.20254,0.82855,0.67607,0.76499,0.50113,1.15341,1.27777,1.25188,0.00079625,0.00079625,0.00079625
13,1599.5,1.05824,1.11027,1.18074,0.67503,0.86184,0.81907,0.53481,1.08571,1.23173,1.21666,0.000755,0.000755,0.000755
1,86.7295,1.2221,2.60409,1.37319,0.69643,0.21512,0.23745,0.15622,1.11916,3.05468,1.24684,0.000407197,0.000407197,0.000407197
2,163.678,1.15485,1.85708,1.27568,0.56198,0.55074,0.52386,0.33163,1.18598,2.32481,1.32794,0.000796676,0.000796676,0.000796676
3,240.596,1.18457,1.73592,1.30398,0.47432,0.6341,0.52448,0.32614,1.22856,2.04055,1.38285,0.00115866,0.00115866,0.00115866
4,364.967,1.17494,1.65127,1.3023,0.46847,0.69947,0.58435,0.37458,1.26827,1.79366,1.36459,0.00112625,0.00112625,0.00112625
5,553.741,1.13487,1.52679,1.25012,0.51616,0.71788,0.69503,0.44134,1.17076,1.65748,1.3137,0.001085,0.001085,0.001085
6,686.05,1.15794,1.48487,1.25974,0.67553,0.57102,0.6523,0.38569,1.26331,1.6619,1.40463,0.00104375,0.00104375,0.00104375
